CBSA,new_housing_units_permitted,year
33700,285,2012
33740,613,2012
33780,136,2012
33860,1250,2012
34060,623,2012
34100,167,2012
34580,229,2012
34620,260,2012
34740,138,2012
34820,2308,2012
34900,112,2012
34940,1612,2012
34980,8247,2012
35300,669,2012
35380,2293,2012
35620,26912,2012
35660,151,2012
35840,3102,2012
35980,291,2012
36100,401,2012
36140,491,2012
36220,1009,2012
36260,2714,2012
36420,6577,2012
36500,1012,2012
36540,3462,2012
36740,12006,2012
36780,273,2012
36980,264,2012
37100,566,2012
37340,1128,2012
37380,243,2012
37460,440,2012
37620,131,2012
37700,350,2012
37860,1494,2012
37900,727,2012
37980,9270,2012
38060,15967,2012
38220,131,2012
38300,3466,2012
38340,89,2012
38540,145,2012
38940,635,2012
38860,1390,2012
38900,7785,2012
39100,1435,2012
39140,452,2012
39300,1361,2012
39340,2439,2012
39380,266,2012
39460,329,2012
39540,163,2012
39580,12926,2012
39660,687,2012
39740,289,2012
39820,205,2012
39900,845,2012
40060,4271,2012
40140,5949,2012
40220,428,2012
40340,526,2012
40380,1600,2012
40420,135,2012
40580,145,2012
40660,43,2012
40900,3408,2012
40980,212,2012
41420,721,2012
41500,246,2012
41540,342,2012
41620,3904,2012
41660,405,2012
41700,8004,2012
41740,5666,2012
41860,9163,2012
41940,5532,2012
42020,417,2012
41780,44,2012
42060,461,2012
42100,237,2012
42140,130,2012
42220,560,2012
42340,1540,2012
42540,470,2012
42660,17666,2012
42680,369,2012
43100,63,2012
43300,76,2012
43340,1577,2012
43580,260,2012
43620,1587,2012
43780,642,2012
43900,727,2012
44060,1353,2012
44100,313,2012
44140,561,2012
44180,1566,2012
44220,115,2012
41060,572,2012
41100,1392,2012
41140,113,2012
41180,5489,2012
44300,862,2012
44600,20,2012
44700,1006,2012
44940,299,2012
45060,1499,2012
45220,1234,2012
45300,10161,2012
45460,240,2012
45500,220,2012
45780,816,2012
45820,312,2012
45940,444,2012
46060,2841,2012
46140,3436,2012
46220,919,2012
46340,353,2012
46540,326,2012
46660,363,2012
46700,538,2012
47020,215,2012
47220,190,2012
47260,5383,2012
47300,673,2012
47380,676,2012
47580,572,2012
47900,22404,2012
47940,609,2012
48140,297,2012
48300,299,2012
48540,36,2012
48660,269,2012
48620,1310,2012
48700,178,2012
48900,3063,2012
49020,383,2012
49180,1281,2012
49340,1125,2012
49420,471,2012
49620,805,2012
49660,263,2012
49700,116,2012
49740,648,2012
10180,306,2013
10420,690,2013
10500,257,2013
10580,2009,2013
10740,2606,2013
10780,402,2013
10900,1350,2013
11020,101,2013
11100,898,2013
11180,536,2013
11260,576,2013
11300,93,2013
11340,572,2013
11460,758,2013
11500,59,2013
11540,829,2013
11700,1524,2013
12020,1079,2013
12060,24297,2013
12100,484,2013
12220,726,2013
12260,2421,2013
12420,20852,2013
12540,2318,2013
12580,8069,2013
12620,251,2013
12700,596,2013
12940,3210,2013
12980,47,2013
13020,61,2013
13140,604,2013
13380,999,2013
13460,1317,2013
13740,2102,2013
13780,111,2013
13820,2776,2013
13900,2091,2013
13980,498,2013
14020,516,2013
14060,674,2013
14260,4365,2013
14460,12021,2013
14500,1625,2013
14540,529,2013
14740,913,2013
14860,2501,2013
15180,1263,2013
15260,444,2013
15380,1934,2013
15500,561,2013
15540,758,2013
15940,636,2013
15980,3176,2013
16020,211,2013
16180,40,2013
16220,603,2013
16300,949,2013
16580,714,2013
