GEOID,NAME,B25064_001,year
36606,ZCTA5 36606,750,2013
36607,ZCTA5 36607,770,2013
36608,ZCTA5 36608,786,2013
36609,ZCTA5 36609,767,2013
36610,ZCTA5 36610,683,2013
36611,ZCTA5 36611,668,2013
36612,ZCTA5 36612,527,2013
36613,ZCTA5 36613,787,2013
36615,ZCTA5 36615,515,2013
36616,ZCTA5 36616,NA,2013
36617,ZCTA5 36617,693,2013
36618,ZCTA5 36618,799,2013
36619,ZCTA5 36619,857,2013
36688,ZCTA5 36688,NA,2013
36693,ZCTA5 36693,876,2013
36695,ZCTA5 36695,883,2013
36701,ZCTA5 36701,565,2013
36703,ZCTA5 36703,484,2013
36720,ZCTA5 36720,398,2013
36722,ZCTA5 36722,NA,2013
36723,ZCTA5 36723,NA,2013
36726,ZCTA5 36726,378,2013
36727,ZCTA5 36727,NA,2013
36728,ZCTA5 36728,NA,2013
36732,ZCTA5 36732,488,2013
36736,ZCTA5 36736,578,2013
36738,ZCTA5 36738,NA,2013
36740,ZCTA5 36740,817,2013
36742,ZCTA5 36742,560,2013
36744,ZCTA5 36744,393,2013
36748,ZCTA5 36748,553,2013
36749,ZCTA5 36749,NA,2013
36750,ZCTA5 36750,611,2013
36751,ZCTA5 36751,644,2013
36752,ZCTA5 36752,632,2013
36753,ZCTA5 36753,NA,2013
36754,ZCTA5 36754,NA,2013
36756,ZCTA5 36756,516,2013
36758,ZCTA5 36758,648,2013
36759,ZCTA5 36759,498,2013
36761,ZCTA5 36761,723,2013
36763,ZCTA5 36763,NA,2013
36765,ZCTA5 36765,286,2013
36766,ZCTA5 36766,NA,2013
36767,ZCTA5 36767,445,2013
36768,ZCTA5 36768,692,2013
36769,ZCTA5 36769,540,2013
36773,ZCTA5 36773,445,2013
36775,ZCTA5 36775,772,2013
36776,ZCTA5 36776,NA,2013
36782,ZCTA5 36782,670,2013
36783,ZCTA5 36783,573,2013
36784,ZCTA5 36784,441,2013
36785,ZCTA5 36785,401,2013
36786,ZCTA5 36786,419,2013
36790,ZCTA5 36790,NA,2013
36792,ZCTA5 36792,NA,2013
36793,ZCTA5 36793,NA,2013
36801,ZCTA5 36801,678,2013
36804,ZCTA5 36804,757,2013
36830,ZCTA5 36830,787,2013
36832,ZCTA5 36832,758,2013
36849,ZCTA5 36849,NA,2013
36850,ZCTA5 36850,504,2013
36852,ZCTA5 36852,631,2013
36853,ZCTA5 36853,572,2013
36854,ZCTA5 36854,730,2013
36855,ZCTA5 36855,616,2013
36856,ZCTA5 36856,1096,2013
36858,ZCTA5 36858,NA,2013
36859,ZCTA5 36859,NA,2013
36860,ZCTA5 36860,567,2013
36861,ZCTA5 36861,689,2013
36862,ZCTA5 36862,491,2013
36863,ZCTA5 36863,629,2013
36865,ZCTA5 36865,NA,2013
36866,ZCTA5 36866,601,2013
36867,ZCTA5 36867,744,2013
36869,ZCTA5 36869,666,2013
36870,ZCTA5 36870,939,2013
36871,ZCTA5 36871,567,2013
36874,ZCTA5 36874,720,2013
36875,ZCTA5 36875,572,2013
36877,ZCTA5 36877,819,2013
36879,ZCTA5 36879,729,2013
36901,ZCTA5 36901,NA,2013
36904,ZCTA5 36904,553,2013
36907,ZCTA5 36907,498,2013
36908,ZCTA5 36908,330,2013
36910,ZCTA5 36910,NA,2013
36912,ZCTA5 36912,626,2013
36913,ZCTA5 36913,NA,2013
36915,ZCTA5 36915,NA,2013
36916,ZCTA5 36916,688,2013
36919,ZCTA5 36919,580,2013
36921,ZCTA5 36921,NA,2013
36922,ZCTA5 36922,NA,2013
36925,ZCTA5 36925,487,2013
99501,ZCTA5 99501,936,2013
99502,ZCTA5 99502,1171,2013
99503,ZCTA5 99503,961,2013
99504,ZCTA5 99504,1204,2013
99505,ZCTA5 99505,1859,2013
99506,ZCTA5 99506,1943,2013
99507,ZCTA5 99507,1230,2013
99508,ZCTA5 99508,994,2013
99510,ZCTA5 99510,NA,2013
99513,ZCTA5 99513,NA,2013
99515,ZCTA5 99515,1224,2013
99516,ZCTA5 99516,1285,2013
99517,ZCTA5 99517,1156,2013
99518,ZCTA5 99518,1320,2013
99519,ZCTA5 99519,NA,2013
99540,ZCTA5 99540,NA,2013
99546,ZCTA5 99546,863,2013
99547,ZCTA5 99547,708,2013
99548,ZCTA5 99548,NA,2013
99549,ZCTA5 99549,775,2013
99550,ZCTA5 99550,575,2013
99551,ZCTA5 99551,781,2013
99552,ZCTA5 99552,778,2013
99553,ZCTA5 99553,500,2013
99554,ZCTA5 99554,481,2013
99555,ZCTA5 99555,950,2013
99556,ZCTA5 99556,850,2013
99557,ZCTA5 99557,1012,2013
99558,ZCTA5 99558,NA,2013
99559,ZCTA5 99559,1367,2013
99561,ZCTA5 99561,525,2013
99563,ZCTA5 99563,675,2013
99564,ZCTA5 99564,938,2013
99565,ZCTA5 99565,NA,2013
99566,ZCTA5 99566,763,2013
99567,ZCTA5 99567,1033,2013
99568,ZCTA5 99568,NA,2013
99569,ZCTA5 99569,NA,2013
99571,ZCTA5 99571,840,2013
99572,ZCTA5 99572,NA,2013
99573,ZCTA5 99573,725,2013
99574,ZCTA5 99574,764,2013
99575,ZCTA5 99575,NA,2013
