"EventID","EventType","StartDateTime","EndDateTime","EnteredOn","EventAgency","ParkingHeld","Borough","CommunityBoard(s)","PolicePrecinct(s)","Category","SubCategoryName","Country","ZipCode(s)"
"814511","Theater Load in and Load Outs","10/17/2024 06:00:00 AM","10/18/2024 04:00:00 AM","10/03/2024 10:49:18 AM","Mayor's Office of Media & Entertainment","UNION STREET between BOND STREET and NEVINS STREET","Brooklyn","6,","76, 78,","Theater","Theater","United States of America","11215, 11231,"
"814508","Shooting Permit","10/07/2024 08:00:00 AM","10/07/2024 02:00:00 PM","10/03/2024 10:46:37 AM","Mayor's Office of Media & Entertainment","WEST   19 STREET between 8 AVENUE and 7 AVENUE,  7 AVENUE between WEST   21 STREET and WEST   17 STREET,  WEST   20 STREET between 7 AVENUE and 6 AVENUE,  WEST   18 STREET between 8 AVENUE and 6 AVENUE","Manhattan","4,","10, 13,","Television","Cable-episodic","United States of America","10011,"
"814505","Shooting Permit","10/05/2024 07:00:00 AM","10/05/2024 08:00:00 PM","10/03/2024 10:34:30 AM","Mayor's Office of Media & Entertainment","CLASSON AVENUE between LEXINGTON AVENUE and GATES AVENUE","Brooklyn","2, 3,","79, 88,","Still Photography","Not Applicable","United States of America","11238,"
"814501","Shooting Permit","10/06/2024 07:00:00 AM","10/06/2024 10:00:00 PM","10/03/2024 10:22:55 AM","Mayor's Office of Media & Entertainment","BEACH  108 STREET between ROCKAWAY BEACH BOULEVARD and SHORE FRONT PARKWAY","Queens","14,","100,","Still Photography","Not Applicable","United States of America","11694,"
"814492","Shooting Permit","10/09/2024 11:00:00 AM","10/09/2024 11:00:00 PM","10/03/2024 09:43:48 AM","Mayor's Office of Media & Entertainment","10 AVENUE between WEST   51 STREET and WEST   52 STREET,  WEST   50 STREET between 10 AVENUE and 11 AVENUE","Manhattan","4,","18,","Film","Short","United States of America","10019,"
"814490","Shooting Permit","10/07/2024 07:00:00 AM","10/07/2024 10:00:00 PM","10/03/2024 09:23:59 AM","Mayor's Office of Media & Entertainment","MESEROLE AVENUE between HUMBOLDT STREET and MOULTRIE STREET,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between HUMBOLDT STREET and DIAMOND STREET","Brooklyn","1,","94,","Television","Cable-episodic","United States of America","11222,"
"814486","Shooting Permit","10/10/2024 06:00:00 AM","10/10/2024 07:00:00 PM","10/03/2024 08:50:56 AM","Mayor's Office of Media & Entertainment","CHURCH STREET between WHITE STREET and FRANKLIN STREET","Manhattan","1,","1,","Still Photography","Not Applicable","United States of America","10013,"
"814485","Shooting Permit","10/06/2024 07:00:00 AM","10/06/2024 09:00:00 PM","10/03/2024 08:49:10 AM","Mayor's Office of Media & Entertainment","EAST   80 STREET between 2 AVENUE and 3 AVENUE","Manhattan","7, 8,","19, 24,","Film","Feature","United States of America","10024, 10075,"
"814457","Shooting Permit","10/07/2024 06:00:00 AM","10/07/2024 10:00:00 PM","10/02/2024 05:48:51 PM","Mayor's Office of Media & Entertainment","PEARSON PLACE between 27 STREET and DAVIS COURT,  27 STREET between PEARSON PLACE and AUSTELL PLACE,  SKILLMAN AVENUE between 47 AVENUE and 49 AVENUE,  30 STREET between 47 AVENUE and HUNTERS POINT AVENUE","Queens","2,","108,","Television","Cable-episodic","United States of America","11101,"
"814422","Rigging Permit","10/03/2024 06:00:00 AM","10/03/2024 08:00:00 PM","10/02/2024 03:22:10 PM","Mayor's Office of Media & Entertainment","AVENUE A between EAST HOUSTON STREET and EAST    2 STREET,  AVENUE A between EAST    2 STREET and EAST    3 STREET","Manhattan","3,","9,","Film","Feature","United States of America","10009,"
